pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
11621,jkleinsc,Internals,codebytere,Internals,No
11597,zcbenz,Internals,zcbenz,Internals,Yes
11589,zcbenz,Internals,zcbenz,Internals,Yes
11584,TiagoDanin,Externals,codebytere,Internals,No
11574,deepak1556,Externals,zcbenz,Internals,No
11557,josimi,Externals,ckerr,Internals,No
11547,deepak1556,Externals,zcbenz,Internals,No
11546,zcbenz,Internals,zcbenz,Internals,Yes
11545,m1guelpf,Externals,lee-dohm,Internals,No
11538,TiagoDanin,Externals,zeke,Internals,No
11532,sethlu,Externals,zeke,Internals,No
11527,zcbenz,Internals,zcbenz,Internals,Yes
11526,zcbenz,Internals,zcbenz,Internals,Yes
11511,HayateLaTech,Externals,ckerr,Internals,No
11510,zcbenz,Internals,zcbenz,Internals,Yes
11507,codebytere,Internals,codebytere,Internals,Yes
11504,kylecorry31,Externals,ckerr,Internals,No
11499,deepak1556,Externals,zcbenz,Internals,No
11495,zcbenz,Internals,zcbenz,Internals,Yes
11493,zcbenz,Internals,zcbenz,Internals,Yes
11489,deepak1556,Externals,ckerr,Internals,No
11487,jkleinsc,Internals,jkleinsc,Internals,Yes
11482,MarshallOfSound,Externals,ckerr,Internals,No
11481,teiles,Externals,zeke,Internals,No
11476,ckerr,Internals,ckerr,Internals,Yes
11470,codebytere,Internals,zcbenz,Internals,No
11467,leo,Externals,ckerr,Internals,No
11466,ckerr,Internals,ckerr,Internals,Yes
11465,ckerr,Internals,codebytere,Internals,No
11448,TheDancingCode,Externals,codebytere,Internals,No
11431,felixrieseberg,Externals,ckerr,Internals,No
11428,TechnicalSoup,Externals,zeke,Internals,No
11427,jkleinsc,Internals,jkleinsc,Internals,Yes
11426,mikoto2000,Externals,ckerr,Internals,No
11422,codebytere,Internals,codebytere,Internals,Yes
11421,lurch,Externals,ckerr,Internals,No
11420,joeydlee95,Externals,zeke,Internals,No
11419,felixrieseberg,Externals,ckerr,Internals,No
11418,codebytere,Internals,ckerr,Internals,No
11415,alexeykuzmin,Externals,ckerr,Internals,No
11414,alexeykuzmin,Externals,ckerr,Internals,No
11409,felixrieseberg,Externals,codebytere,Internals,No
11406,xxczaki,Externals,ckerr,Internals,No
11396,deepak1556,Externals,zcbenz,Internals,No
11395,codebytere,Internals,ckerr,Internals,No
11385,felixrieseberg,Externals,ckerr,Internals,No
11380,cifratila,Externals,ckerr,Internals,No
11379,TiagoDanin,Externals,ckerr,Internals,No
11370,deepak1556,Externals,jkleinsc,Internals,No
11367,zeke,Internals,zeke,Internals,Yes
11365,jkleinsc,Internals,jkleinsc,Internals,Yes
11364,groundwater,Internals,zeke,Internals,No
11359,alespergl,Externals,ckerr,Internals,No
11356,simurai,Internals,jkleinsc,Internals,No
11355,zcbenz,Internals,zcbenz,Internals,Yes
11342,jkleinsc,Internals,zcbenz,Internals,No
11330,jkleinsc,Internals,jkleinsc,Internals,Yes
11329,felixrieseberg,Externals,ckerr,Internals,No
11327,MarshallOfSound,Externals,ckerr,Internals,No
11321,codebytere,Internals,codebytere,Internals,Yes
11317,alespergl,Externals,ckerr,Internals,No
11316,felixrieseberg,Externals,zcbenz,Internals,No
11315,insideGen,Externals,ckerr,Internals,No
11314,zeke,Internals,zeke,Internals,Yes
11312,codebytere,Internals,ckerr,Internals,No
11311,zeke,Internals,ckerr,Internals,No
11306,tarruda,Externals,ckerr,Internals,No
11302,deepak1556,Externals,zcbenz,Internals,No
11301,wlbentley,Externals,jkleinsc,Internals,No
11300,zcbenz,Internals,zcbenz,Internals,Yes
11297,jkleinsc,Internals,ckerr,Internals,No
11292,AdrienFery,Externals,zcbenz,Internals,No
11291,zcbenz,Internals,codebytere,Internals,No
11283,tarruda,Externals,zcbenz,Internals,No
11282,Toinane,Externals,ckerr,Internals,No
11279,sethlu,Externals,zcbenz,Internals,No
11272,matt-way,Externals,zcbenz,Internals,No
11271,deepak1556,Externals,jkleinsc,Internals,No
11268,alespergl,Externals,ckerr,Internals,No
11264,brenca,Externals,zcbenz,Internals,No
11257,alexeykuzmin,Externals,ckerr,Internals,No
11256,alexeykuzmin,Externals,zeke,Internals,No
11255,alexeykuzmin,Externals,zeke,Internals,No
11254,alexeykuzmin,Externals,jkleinsc,Internals,No
11253,alexeykuzmin,Externals,ckerr,Internals,No
11250,codebytere,Internals,zeke,Internals,No
11249,ckerr,Internals,ckerr,Internals,Yes
11247,ckerr,Internals,codebytere,Internals,No
11241,alexeykuzmin,Externals,zcbenz,Internals,No
11240,codebytere,Internals,codebytere,Internals,Yes
11238,deepak1556,Externals,zcbenz,Internals,No
11235,felixrieseberg,Externals,zcbenz,Internals,No
11233,brenca,Externals,zcbenz,Internals,No
11231,Toinane,Externals,ckerr,Internals,No
11229,codebytere,Internals,ckerr,Internals,No
11227,emmkimme,Externals,zcbenz,Internals,No
11225,felixrieseberg,Externals,ckerr,Internals,No
11224,felixrieseberg,Externals,ckerr,Internals,No
11218,him2him2,Externals,ckerr,Internals,No
11217,him2him2,Externals,codebytere,Internals,No
11208,zcbenz,Internals,zcbenz,Internals,Yes
11207,kstar0714,Externals,ckerr,Internals,No
11204,andykog,Externals,MarshallOfSound,Externals,No
11203,zeke,Internals,zeke,Internals,Yes
11199,duswlsgur,Externals,vanessayuenn,Internals,No
11191,codebytere,Internals,ckerr,Internals,No
11187,felixrieseberg,Externals,ckerr,Internals,No
11186,zeke,Internals,jkleinsc,Internals,No
11185,felixrieseberg,Externals,ckerr,Internals,No
11184,felixrieseberg,Externals,ckerr,Internals,No
11178,vanessayuenn,Internals,ckerr,Internals,No
11176,mgc,Externals,zcbenz,Internals,No
11171,him2him2,Externals,codebytere,Internals,No
11170,him2him2,Externals,ckerr,Internals,No
11168,sethlu,Externals,zcbenz,Internals,No
11167,simast,Externals,ckerr,Internals,No
11166,sethlu,Externals,zcbenz,Internals,No
11164,felixrieseberg,Externals,ckerr,Internals,No
11158,felixrieseberg,Externals,ckerr,Internals,No
11154,jkleinsc,Internals,zcbenz,Internals,No
11153,jkleinsc,Internals,jkleinsc,Internals,Yes
11152,zeke,Internals,zeke,Internals,Yes
11145,OuYancey,Externals,jkleinsc,Internals,No
11144,dittos,Externals,zcbenz,Internals,No
11141,MarshallOfSound,Externals,ckerr,Internals,No
11140,alexeykuzmin,Externals,ckerr,Internals,No
11139,alexeykuzmin,Externals,ckerr,Internals,No
11135,codebytere,Internals,ckerr,Internals,No
11133,alexeykuzmin,Externals,codebytere,Internals,No
11131,hugomano,Externals,zcbenz,Internals,No
11127,jkleinsc,Internals,jkleinsc,Internals,Yes
11126,numaanashraf,Externals,ckerr,Internals,No
11125,tarruda,Externals,jkleinsc,Internals,No
11124,tarruda,Externals,codebytere,Internals,No
11117,codebytere,Internals,ckerr,Internals,No
11108,oktapodia,Externals,zcbenz,Internals,No
11103,felixrieseberg,Externals,ckerr,Internals,No
11100,Raul6469,Externals,ckerr,Internals,No
11099,MarshallOfSound,Externals,ckerr,Internals,No
11097,brenca,Externals,ckerr,Internals,No
11093,zeke,Internals,ckerr,Internals,No
11092,MarshallOfSound,Externals,zcbenz,Internals,No
11088,zeke,Internals,ckerr,Internals,No
11087,felixrieseberg,Externals,MarshallOfSound,Externals,No
11079,sdj01044,Externals,ckerr,Internals,No
11060,MarshallOfSound,Externals,MarshallOfSound,Externals,Yes
11059,felixrieseberg,Externals,zcbenz,Internals,No
11058,MarshallOfSound,Externals,MarshallOfSound,Externals,Yes
11056,ajmacd,Externals,MarshallOfSound,Externals,No
11055,felixrieseberg,Externals,MarshallOfSound,Externals,No
11054,jkleinsc,Internals,jkleinsc,Internals,Yes
11048,Toinane,Externals,MarshallOfSound,Externals,No
11039,zeke,Internals,ckerr,Internals,No
11038,dashersw,Externals,MarshallOfSound,Externals,No
11032,groundwater,Internals,zeke,Internals,No
11022,ChangJoo-Park,Externals,ckerr,Internals,No
11020,pfrazee,Externals,ckerr,Internals,No
