month,pull_type,pull_amount,user_type
2017-12-15,opened,5,Internals
2017-11-15,opened,3,Internals
2018-01-15,closed,1,Internals
2017-12-15,closed,1,Internals
2017-11-15,closed,2,Internals
2017-10-15,closed,3,Internals
2017-08-15,closed,3,Internals
2017-07-15,closed,2,Internals
2017-03-15,closed,1,Internals
2017-02-15,closed,1,Internals
2016-11-15,closed,3,Internals
2016-10-15,closed,2,Internals
2016-09-15,closed,4,Internals
2016-08-15,closed,4,Internals
2016-07-15,closed,2,Internals
2016-06-15,closed,7,Internals
2016-05-15,closed,2,Internals
2016-04-15,closed,5,Internals
2016-03-15,closed,2,Internals
2016-01-15,closed,1,Internals
2015-09-15,closed,1,Internals
2015-06-15,closed,1,Internals
2013-08-15,closed,1,Internals
2018-01-15,merged,4,Internals
2017-12-15,merged,27,Internals
2017-11-15,merged,28,Internals
2017-10-15,merged,24,Internals
2017-09-15,merged,21,Internals
2017-08-15,merged,28,Internals
2017-07-15,merged,25,Internals
2017-06-15,merged,19,Internals
2017-05-15,merged,37,Internals
2017-04-15,merged,36,Internals
2017-03-15,merged,31,Internals
2017-02-15,merged,39,Internals
2017-01-15,merged,31,Internals
2016-12-15,merged,27,Internals
2016-11-15,merged,38,Internals
2016-10-15,merged,37,Internals
2016-09-15,merged,51,Internals
2016-08-15,merged,64,Internals
2016-07-15,merged,75,Internals
2016-06-15,merged,102,Internals
2016-05-15,merged,67,Internals
2016-04-15,merged,56,Internals
2016-03-15,merged,43,Internals
2016-02-15,merged,29,Internals
2016-01-15,merged,31,Internals
2015-12-15,merged,38,Internals
2015-11-15,merged,24,Internals
2015-10-15,merged,22,Internals
2015-09-15,merged,31,Internals
2015-08-15,merged,22,Internals
2015-07-15,merged,22,Internals
2015-06-15,merged,17,Internals
2015-05-15,merged,17,Internals
2015-04-15,merged,15,Internals
2015-03-15,merged,8,Internals
2015-02-15,merged,9,Internals
2015-01-15,merged,12,Internals
2014-12-15,merged,8,Internals
2014-11-15,merged,15,Internals
2014-10-15,merged,7,Internals
2014-09-15,merged,6,Internals
2014-08-15,merged,11,Internals
2014-07-15,merged,4,Internals
2014-06-15,merged,9,Internals
2014-05-15,merged,8,Internals
2014-04-15,merged,7,Internals
2014-03-15,merged,12,Internals
2014-02-15,merged,4,Internals
2014-01-15,merged,6,Internals
2013-12-15,merged,7,Internals
2013-11-15,merged,4,Internals
2013-10-15,merged,2,Internals
2013-09-15,merged,7,Internals
2013-08-15,merged,3,Internals
2013-06-15,merged,1,Internals
2018-01-15,opened,15,Externals
2017-12-15,opened,7,Externals
2017-10-15,opened,1,Externals
2017-07-15,opened,1,Externals
2016-11-15,opened,1,Externals
2018-01-15,closed,2,Externals
2017-12-15,closed,7,Externals
2017-11-15,closed,18,Externals
2017-10-15,closed,13,Externals
2017-09-15,closed,2,Externals
2017-08-15,closed,17,Externals
2017-07-15,closed,8,Externals
2017-06-15,closed,15,Externals
2017-05-15,closed,20,Externals
2017-04-15,closed,6,Externals
2017-03-15,closed,8,Externals
2017-02-15,closed,11,Externals
2017-01-15,closed,8,Externals
2016-12-15,closed,10,Externals
2016-11-15,closed,6,Externals
2016-10-15,closed,34,Externals
2016-09-15,closed,13,Externals
2016-08-15,closed,8,Externals
2016-07-15,closed,4,Externals
2016-06-15,closed,10,Externals
2016-05-15,closed,15,Externals
2016-04-15,closed,7,Externals
2016-03-15,closed,11,Externals
2016-02-15,closed,25,Externals
2016-01-15,closed,14,Externals
2015-12-15,closed,19,Externals
2015-11-15,closed,25,Externals
2015-10-15,closed,17,Externals
2015-09-15,closed,5,Externals
2015-08-15,closed,5,Externals
2015-07-15,closed,8,Externals
2015-06-15,closed,3,Externals
2015-05-15,closed,10,Externals
