month,pull_type,pull_amount,user_type
2015-04-15,closed,6,Externals
2015-03-15,closed,6,Externals
2015-02-15,closed,3,Externals
2015-01-15,closed,3,Externals
2014-12-15,closed,2,Externals
2014-11-15,closed,3,Externals
2014-10-15,closed,2,Externals
2014-08-15,closed,2,Externals
2014-07-15,closed,2,Externals
2014-06-15,closed,1,Externals
2014-05-15,closed,2,Externals
2018-01-15,merged,4,Externals
2017-12-15,merged,35,Externals
2017-11-15,merged,73,Externals
2017-10-15,merged,53,Externals
2017-09-15,merged,34,Externals
2017-08-15,merged,35,Externals
2017-07-15,merged,36,Externals
2017-06-15,merged,45,Externals
2017-05-15,merged,49,Externals
2017-04-15,merged,44,Externals
2017-03-15,merged,52,Externals
2017-02-15,merged,33,Externals
2017-01-15,merged,33,Externals
2016-12-15,merged,36,Externals
2016-11-15,merged,58,Externals
2016-10-15,merged,85,Externals
2016-09-15,merged,61,Externals
2016-08-15,merged,57,Externals
2016-07-15,merged,58,Externals
2016-06-15,merged,71,Externals
2016-05-15,merged,87,Externals
2016-04-15,merged,58,Externals
2016-03-15,merged,56,Externals
2016-02-15,merged,57,Externals
2016-01-15,merged,83,Externals
2015-12-15,merged,64,Externals
2015-11-15,merged,69,Externals
2015-10-15,merged,91,Externals
2015-09-15,merged,71,Externals
2015-08-15,merged,57,Externals
2015-07-15,merged,62,Externals
2015-06-15,merged,56,Externals
2015-05-15,merged,46,Externals
2015-04-15,merged,42,Externals
2015-03-15,merged,34,Externals
2015-02-15,merged,12,Externals
2015-01-15,merged,5,Externals
2014-12-15,merged,7,Externals
2014-11-15,merged,14,Externals
2014-10-15,merged,11,Externals
2014-09-15,merged,7,Externals
2014-08-15,merged,11,Externals
2014-07-15,merged,11,Externals
2014-06-15,merged,4,Externals
2014-05-15,merged,26,Externals
2013-12-15,merged,1,Externals
2013-11-15,merged,1,Externals
2013-09-15,merged,2,Externals
2013-08-15,merged,4,Externals
