pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed
2809,5,0,5,Employees,technoweenie,2018-01-08T20:52:07Z,692,299,34
2806,12,0,4,Employees,technoweenie,2018-01-05T01:34:08Z,232,101,20
2797,1,0,0,Employees,b4mboo,2017-12-21T03:20:45Z,1,0,1
2796,7,1,0,Employees,ttaylorr,2018-01-03T23:37:05Z,112,9,10
2795,6,0,0,Employees,ttaylorr,2017-12-19T22:36:05Z,128,13,8
2794,4,0,0,Employees,ttaylorr,2017-12-19T22:35:26Z,76,26,6
2793,1,0,0,Employees,ttaylorr,2017-12-19T22:34:29Z,58,1,3
2788,7,0,0,Employees,ttaylorr,2017-12-18T19:26:57Z,155,54,8
2786,1,0,0,Employees,ttaylorr,2017-12-14T17:29:05Z,28,1,2
2785,1,0,0,Employees,ttaylorr,2017-12-14T17:28:54Z,75,1,4
2784,3,0,0,Employees,ttaylorr,2017-12-14T18:06:51Z,566,21,42
2780,9,0,0,Employees,ttaylorr,2017-12-14T17:28:44Z,447,0,35
2779,1,0,0,Employees,ttaylorr,2017-12-14T17:28:30Z,7,0,3
2778,3,0,0,Employees,ttaylorr,2017-12-14T17:28:20Z,262,0,6
2773,8,1,0,Employees,technoweenie,2017-12-14T21:41:55Z,1172,390,78
2770,1,0,0,Volunteers,sschuberth,2017-12-05T19:48:28Z,3,2,2
2769,2,1,6,Employees,ttaylorr,2017-12-05T23:33:12Z,36,9,4
2767,1,0,0,Employees,ttaylorr,2017-12-05T23:29:29Z,8,0,1
2764,4,0,6,Employees,ttaylorr,2017-12-04T16:54:28Z,236,57,12
2762,12,2,2,Employees,ttaylorr,2017-12-08T17:42:08Z,640,499,55
2759,5,1,0,Employees,ttaylorr,2017-12-05T23:29:04Z,191,165,19
2758,5,0,4,Employees,ttaylorr,2017-12-05T22:05:47Z,139,21,6
2757,18,3,10,Employees,ttaylorr,2017-12-05T01:29:13Z,210,164,23
2756,2,0,0,Employees,ttaylorr,2017-12-01T17:40:23Z,127,8,3
2755,1,1,0,Employees,ttaylorr,2017-12-01T17:40:14Z,1,8,1
2751,2,0,0,Volunteers,wsprent,2017-11-27T21:42:32Z,36,2,2
2750,4,0,2,Employees,ttaylorr,2017-12-01T18:03:40Z,65,42,6
2749,3,1,0,Employees,ttaylorr,2017-11-22T22:25:54Z,177,182,60
2747,2,1,0,Employees,ttaylorr,2017-11-22T22:25:39Z,149,149,48
2746,2,2,0,Employees,ttaylorr,2017-11-22T18:47:05Z,36,1,2
2739,1,0,0,Employees,ttaylorr,2017-11-20T17:44:56Z,29,22,2
2738,5,1,0,Employees,ttaylorr,2017-11-20T18:55:42Z,104,17,8
2737,5,1,0,Employees,technoweenie,2017-11-21T00:04:15Z,387,173,24
2736,1,0,0,Employees,ttaylorr,2017-11-20T18:55:29Z,27,0,1
2735,1,2,0,Employees,technoweenie,2017-11-20T18:52:52Z,10,16,1
2734,9,2,1,Employees,ttaylorr,2017-11-20T18:55:09Z,202,130,27
2733,4,0,7,Employees,ttaylorr,2017-11-16T22:51:50Z,60,16,7
2732,14,0,7,Employees,ttaylorr,2017-11-21T00:08:29Z,633,315,41
2730,2,0,0,Volunteers,dpursehouse,2017-11-16T02:00:19Z,8,0,2
2722,5,1,5,Employees,technoweenie,2017-11-20T18:53:27Z,163,112,22
2719,1,4,0,Volunteers,bilke,2017-11-08T20:16:52Z,1,0,1
2716,2,6,0,Volunteers,QuLogic,2017-11-08T20:39:48Z,8,2,2
2715,1,0,0,Employees,technoweenie,2017-11-03T17:06:10Z,86,10,8
2709,2,5,0,Volunteers,mathstuf,2017-11-16T21:08:50Z,820,293,22
2708,2,7,2,Volunteers,mathstuf,2017-11-17T16:16:51Z,6,2,2
2706,11,2,1,Employees,technoweenie,2017-11-03T16:32:22Z,837,396,39
2704,2,1,0,Employees,technoweenie,2017-11-20T23:50:47Z,2032,1047,64
2700,17,0,0,Employees,technoweenie,2017-10-30T21:12:56Z,940,726,63
2699,1,0,0,Employees,technoweenie,2017-10-27T21:29:08Z,0,2,1
2698,1,0,0,Employees,technoweenie,2017-10-27T15:35:46Z,2,2,1
2695,16,2,0,Employees,technoweenie,2017-10-30T20:25:35Z,853,658,33
2692,10,0,0,Employees,technoweenie,2017-10-26T17:09:32Z,620,586,75
2689,18,0,0,Employees,technoweenie,2017-10-26T16:46:07Z,572,755,106
2687,7,0,0,Employees,technoweenie,2017-10-25T00:35:34Z,150,103,26
2678,2,0,0,Employees,technoweenie,2017-10-24T17:25:29Z,790,965,44
2676,23,1,0,Employees,technoweenie,2017-10-19T19:35:36Z,1168,1162,108
2674,1,0,0,Employees,technoweenie,2017-10-18T16:21:40Z,21,4,5
2673,4,0,0,Employees,technoweenie,2017-10-17T21:32:57Z,107,81,7
2672,2,0,0,Employees,technoweenie,2017-10-17T20:12:56Z,82,54,3
2659,4,4,5,Employees,shiftkey,2017-10-11T20:00:14Z,44,32,12
2657,3,1,0,Employees,technoweenie,2017-10-09T16:55:46Z,46,16,7
2651,3,0,0,Employees,technoweenie,2017-10-18T22:55:37Z,434,156,26
2648,1,0,0,Employees,technoweenie,2017-10-04T20:05:13Z,7,4,1
2647,4,4,2,Employees,technoweenie,2017-10-05T22:42:44Z,36,21,5
2643,1,0,0,Employees,technoweenie,2017-10-03T18:53:52Z,28,3,5
2642,2,0,0,Employees,technoweenie,2017-10-03T17:46:19Z,72,32,7
2641,2,0,0,Employees,technoweenie,2017-10-03T17:33:17Z,55,12,4
2637,1,1,0,Employees,technoweenie,2017-10-03T15:45:21Z,7,2,2
2633,3,0,0,Employees,technoweenie,2017-10-03T16:12:50Z,26,11,8
2632,2,0,0,Employees,technoweenie,2017-10-03T15:59:04Z,9,4,4
2626,3,0,2,Employees,technoweenie,2017-10-18T22:32:38Z,538,186,38
2625,1,0,0,Employees,technoweenie,2017-09-28T15:20:54Z,6,3,2
2622,2,0,0,Employees,technoweenie,2017-10-03T16:48:33Z,44,21,14
2621,2,0,0,Employees,technoweenie,2017-10-18T22:18:00Z,358,175,34
2620,1,0,0,Employees,rubyist,2017-09-27T20:59:16Z,6,6,3
2617,1,0,0,Employees,technoweenie,2017-09-26T23:04:58Z,3,3,1
2615,1,0,0,Employees,technoweenie,2017-09-26T22:28:38Z,33,3,5
2614,3,0,0,Employees,technoweenie,2017-09-26T18:58:07Z,23,5,5
2610,8,0,0,Employees,technoweenie,2017-09-26T17:01:49Z,337,74,28
2609,4,0,0,Employees,technoweenie,2017-09-26T17:39:02Z,375,77,26
2608,3,0,0,Employees,technoweenie,2017-09-26T16:35:20Z,251,42,17
2607,2,0,0,Employees,technoweenie,2017-09-22T17:31:53Z,8,5,4
2600,4,0,0,Employees,technoweenie,2017-09-20T21:44:49Z,155,618,27
2598,7,3,2,Employees,shiftkey,2017-09-20T17:23:48Z,52,18,7
2596,3,2,0,Employees,technoweenie,2017-09-22T16:32:54Z,159,621,29
2590,5,1,3,Volunteers,sprohaska,2017-09-22T22:53:34Z,338,648,45
2588,1,0,0,Volunteers,sschuberth,2017-09-15T16:22:22Z,13,3,1
2586,3,0,0,Volunteers,sschuberth,2017-09-15T14:29:10Z,3,3,3
2585,3,6,3,Employees,shiftkey,2017-09-22T20:22:46Z,165,624,33
2584,1,1,0,Employees,ttaylorr,2017-09-14T17:00:23Z,25,1,2
2583,1,0,2,Employees,ttaylorr,2017-09-14T17:21:02Z,121,4,5
2580,3,0,6,Employees,technoweenie,2017-09-14T15:42:20Z,75,14,3
2579,4,0,0,Employees,technoweenie,2017-09-13T21:25:51Z,76,13,5
2578,4,1,0,Employees,ttaylorr,2017-09-13T22:23:35Z,95,42,6
2577,1,0,0,Employees,ttaylorr,2017-09-13T15:49:39Z,6,1,1
2574,6,0,0,Employees,technoweenie,2017-09-12T15:34:15Z,176,68,13
2572,1,0,0,Employees,ttaylorr,2017-09-11T19:10:35Z,2,2,1
2571,1,0,3,Volunteers,larsxschneider,2017-09-11T15:53:41Z,3,0,1
2570,2,1,6,Volunteers,larsxschneider,2017-09-11T18:15:20Z,48,1,2
2567,3,0,0,Employees,ttaylorr,2017-09-08T20:50:47Z,20,20,3
2566,1,1,0,Employees,ttaylorr,2017-09-08T20:28:25Z,12,0,1
