pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
2809,technoweenie,Externals,technoweenie,Externals,Yes
2806,technoweenie,Externals,technoweenie,Externals,Yes
2797,b4mboo,Internals,ttaylorr,Internals,No
2796,ttaylorr,Internals,ttaylorr,Internals,Yes
2795,ttaylorr,Internals,ttaylorr,Internals,Yes
2794,ttaylorr,Internals,ttaylorr,Internals,Yes
2793,ttaylorr,Internals,ttaylorr,Internals,Yes
2788,ttaylorr,Internals,ttaylorr,Internals,Yes
2786,ttaylorr,Internals,ttaylorr,Internals,Yes
2785,ttaylorr,Internals,ttaylorr,Internals,Yes
2784,ttaylorr,Internals,ttaylorr,Internals,Yes
2780,ttaylorr,Internals,ttaylorr,Internals,Yes
2779,ttaylorr,Internals,ttaylorr,Internals,Yes
2778,ttaylorr,Internals,ttaylorr,Internals,Yes
2773,technoweenie,Externals,ttaylorr,Internals,No
2770,sschuberth,Externals,ttaylorr,Internals,No
2769,ttaylorr,Internals,ttaylorr,Internals,Yes
2767,ttaylorr,Internals,ttaylorr,Internals,Yes
2764,ttaylorr,Internals,ttaylorr,Internals,Yes
2762,ttaylorr,Internals,ttaylorr,Internals,Yes
2759,ttaylorr,Internals,ttaylorr,Internals,Yes
2758,ttaylorr,Internals,ttaylorr,Internals,Yes
2757,ttaylorr,Internals,ttaylorr,Internals,Yes
2756,ttaylorr,Internals,ttaylorr,Internals,Yes
2755,ttaylorr,Internals,ttaylorr,Internals,Yes
2751,wsprent,Externals,ttaylorr,Internals,No
2750,ttaylorr,Internals,ttaylorr,Internals,Yes
2749,ttaylorr,Internals,ttaylorr,Internals,Yes
2747,ttaylorr,Internals,ttaylorr,Internals,Yes
2746,ttaylorr,Internals,ttaylorr,Internals,Yes
2739,ttaylorr,Internals,ttaylorr,Internals,Yes
2738,ttaylorr,Internals,ttaylorr,Internals,Yes
2737,technoweenie,Externals,technoweenie,Externals,Yes
2736,ttaylorr,Internals,ttaylorr,Internals,Yes
2735,technoweenie,Externals,ttaylorr,Internals,No
2734,ttaylorr,Internals,ttaylorr,Internals,Yes
2733,ttaylorr,Internals,ttaylorr,Internals,Yes
2732,ttaylorr,Internals,ttaylorr,Internals,Yes
2730,dpursehouse,Externals,ttaylorr,Internals,No
2722,technoweenie,Externals,ttaylorr,Internals,No
2719,bilke,Externals,technoweenie,Externals,No
2716,QuLogic,Externals,technoweenie,Externals,No
2715,technoweenie,Externals,technoweenie,Externals,Yes
2709,mathstuf,Externals,technoweenie,Externals,No
2708,mathstuf,Externals,ttaylorr,Internals,No
2706,technoweenie,Externals,technoweenie,Externals,Yes
2704,technoweenie,Externals,technoweenie,Externals,Yes
2700,technoweenie,Externals,technoweenie,Externals,Yes
2699,technoweenie,Externals,technoweenie,Externals,Yes
2698,technoweenie,Externals,technoweenie,Externals,Yes
2695,technoweenie,Externals,technoweenie,Externals,Yes
2692,technoweenie,Externals,technoweenie,Externals,Yes
2689,technoweenie,Externals,technoweenie,Externals,Yes
2687,technoweenie,Externals,technoweenie,Externals,Yes
2678,technoweenie,Externals,technoweenie,Externals,Yes
2676,technoweenie,Externals,technoweenie,Externals,Yes
2674,technoweenie,Externals,technoweenie,Externals,Yes
2673,technoweenie,Externals,technoweenie,Externals,Yes
2672,technoweenie,Externals,technoweenie,Externals,Yes
2659,shiftkey,Internals,technoweenie,Externals,No
2657,technoweenie,Externals,technoweenie,Externals,Yes
2651,technoweenie,Externals,technoweenie,Externals,Yes
2648,technoweenie,Externals,technoweenie,Externals,Yes
2647,technoweenie,Externals,technoweenie,Externals,Yes
2643,technoweenie,Externals,technoweenie,Externals,Yes
2642,technoweenie,Externals,technoweenie,Externals,Yes
2641,technoweenie,Externals,technoweenie,Externals,Yes
2637,technoweenie,Externals,technoweenie,Externals,Yes
2633,technoweenie,Externals,technoweenie,Externals,Yes
2632,technoweenie,Externals,technoweenie,Externals,Yes
2626,technoweenie,Externals,technoweenie,Externals,Yes
2625,technoweenie,Externals,technoweenie,Externals,Yes
2622,technoweenie,Externals,technoweenie,Externals,Yes
2621,technoweenie,Externals,technoweenie,Externals,Yes
2620,rubyist,Internals,technoweenie,Externals,No
2617,technoweenie,Externals,technoweenie,Externals,Yes
2615,technoweenie,Externals,technoweenie,Externals,Yes
2614,technoweenie,Externals,technoweenie,Externals,Yes
2610,technoweenie,Externals,technoweenie,Externals,Yes
2609,technoweenie,Externals,technoweenie,Externals,Yes
2608,technoweenie,Externals,technoweenie,Externals,Yes
2607,technoweenie,Externals,technoweenie,Externals,Yes
2600,technoweenie,Externals,technoweenie,Externals,Yes
2598,shiftkey,Internals,technoweenie,Externals,No
2596,technoweenie,Externals,technoweenie,Externals,Yes
2590,sprohaska,Externals,technoweenie,Externals,No
2588,sschuberth,Externals,ttaylorr,Internals,No
2586,sschuberth,Externals,ttaylorr,Internals,No
2585,shiftkey,Internals,technoweenie,Externals,No
2584,ttaylorr,Internals,ttaylorr,Internals,Yes
2583,ttaylorr,Internals,ttaylorr,Internals,Yes
2580,technoweenie,Externals,ttaylorr,Internals,No
2579,technoweenie,Externals,ttaylorr,Internals,No
2578,ttaylorr,Internals,ttaylorr,Internals,Yes
2577,ttaylorr,Internals,ttaylorr,Internals,Yes
2574,technoweenie,Externals,technoweenie,Externals,Yes
2572,ttaylorr,Internals,ttaylorr,Internals,Yes
2571,larsxschneider,Externals,ttaylorr,Internals,No
2570,larsxschneider,Externals,ttaylorr,Internals,No
2567,ttaylorr,Internals,ttaylorr,Internals,Yes
2566,ttaylorr,Internals,ttaylorr,Internals,Yes
2562,ttaylorr,Internals,ttaylorr,Internals,Yes
2559,ttaylorr,Internals,ttaylorr,Internals,Yes
2558,ttaylorr,Internals,ttaylorr,Internals,Yes
2554,ttaylorr,Internals,ttaylorr,Internals,Yes
2553,ttaylorr,Internals,ttaylorr,Internals,Yes
2552,ttaylorr,Internals,ttaylorr,Internals,Yes
2551,ttaylorr,Internals,ttaylorr,Internals,Yes
2550,ttaylorr,Internals,ttaylorr,Internals,Yes
2546,larsxschneider,Externals,ttaylorr,Internals,No
2541,ttaylorr,Internals,ttaylorr,Internals,Yes
2540,larsxschneider,Externals,ttaylorr,Internals,No
2539,larsxschneider,Externals,ttaylorr,Internals,No
2538,ttaylorr,Internals,ttaylorr,Internals,Yes
2537,ttaylorr,Internals,ttaylorr,Internals,Yes
2536,ttaylorr,Internals,ttaylorr,Internals,Yes
2535,ttaylorr,Internals,ttaylorr,Internals,Yes
2531,larsxschneider,Externals,ttaylorr,Internals,No
2530,ttaylorr,Internals,ttaylorr,Internals,Yes
2529,ttaylorr,Internals,ttaylorr,Internals,Yes
2528,ttaylorr,Internals,ttaylorr,Internals,Yes
2526,ttaylorr,Internals,ttaylorr,Internals,Yes
2525,ttaylorr,Internals,ttaylorr,Internals,Yes
2524,ttaylorr,Internals,ttaylorr,Internals,Yes
2516,ttaylorr,Internals,ttaylorr,Internals,Yes
2515,ttaylorr,Internals,ttaylorr,Internals,Yes
2514,ttaylorr,Internals,ttaylorr,Internals,Yes
2511,ttaylorr,Internals,ttaylorr,Internals,Yes
2510,ttaylorr,Internals,ttaylorr,Internals,Yes
2509,andyneff,Externals,ttaylorr,Internals,No
2508,ttaylorr,Internals,ttaylorr,Internals,Yes
2507,ttaylorr,Internals,ttaylorr,Internals,Yes
2506,ttaylorr,Internals,ttaylorr,Internals,Yes
2505,ttaylorr,Internals,ttaylorr,Internals,Yes
2502,ttaylorr,Internals,ttaylorr,Internals,Yes
2501,ttaylorr,Internals,ttaylorr,Internals,Yes
2500,ttaylorr,Internals,ttaylorr,Internals,Yes
2499,aleb,Externals,ttaylorr,Internals,No
2495,ttaylorr,Internals,ttaylorr,Internals,Yes
2493,ttaylorr,Internals,ttaylorr,Internals,Yes
2488,ttaylorr,Internals,ttaylorr,Internals,Yes
2485,ttaylorr,Internals,ttaylorr,Internals,Yes
2483,ttaylorr,Internals,ttaylorr,Internals,Yes
2476,ttaylorr,Internals,ttaylorr,Internals,Yes
2475,ttaylorr,Internals,ttaylorr,Internals,Yes
2471,ttaylorr,Internals,ttaylorr,Internals,Yes
2470,ttaylorr,Internals,ttaylorr,Internals,Yes
2469,ttaylorr,Internals,ttaylorr,Internals,Yes
2468,ttaylorr,Internals,ttaylorr,Internals,Yes
2467,ttaylorr,Internals,ttaylorr,Internals,Yes
2465,ttaylorr,Internals,ttaylorr,Internals,Yes
2463,ttaylorr,Internals,ttaylorr,Internals,Yes
2462,ttaylorr,Internals,ttaylorr,Internals,Yes
