pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
1396,jaythomas,Externals,mose,Externals,No
1395,Eliada,Externals,mose,Externals,No
1391,rodrigoaguilera,Externals,mose,Externals,No
1390,slawekzachcial,Externals,mose,Externals,No
1381,coryallegory,Externals,mose,Externals,No
1372,lornajane,Externals,mose,Externals,No
1364,gr2m,Externals,gr2m,Externals,Yes
1361,gr2m,Externals,gr2m,Externals,Yes
1360,gr2m,Externals,gr2m,Externals,Yes
1359,gr2m,Externals,gr2m,Externals,Yes
1358,gr2m,Externals,gr2m,Externals,Yes
1357,gr2m,Externals,gr2m,Externals,Yes
1353,technicalpickles,Internals,technicalpickles,Internals,Yes
1352,gr2m,Externals,gr2m,Externals,Yes
1350,espy,Externals,gr2m,Externals,No
1349,gr2m,Externals,gr2m,Externals,Yes
1348,gr2m,Externals,gr2m,Externals,Yes
1347,gr2m,Externals,gr2m,Externals,Yes
1345,gr2m,Externals,gr2m,Externals,Yes
1344,bkeepers,Internals,bkeepers,Internals,Yes
1343,bkeepers,Internals,bkeepers,Internals,Yes
1340,bkeepers,Internals,bkeepers,Internals,Yes
1337,bkeepers,Internals,bkeepers,Internals,Yes
1336,bkeepers,Internals,bkeepers,Internals,Yes
1335,bkeepers,Internals,bkeepers,Internals,Yes
1334,LindseyB,Internals,bkeepers,Internals,No
1332,mose,Externals,mose,Externals,Yes
1329,jbosse,Externals,mose,Externals,No
1328,technicalpickles,Internals,mose,Externals,No
1326,bkeepers,Internals,mose,Externals,No
1323,bkeepers,Internals,bkeepers,Internals,Yes
1321,bkeepers,Internals,bkeepers,Internals,Yes
1320,bkeepers,Internals,bkeepers,Internals,Yes
1317,Sirius-A,Externals,bkeepers,Internals,No
1312,bkeepers,Internals,bkeepers,Internals,Yes
1309,benbalter,Internals,benbalter,Internals,Yes
1290,maxkoryukov,Externals,bkeepers,Internals,No
1289,makii42,Externals,bkeepers,Internals,No
1286,mose,Externals,bkeepers,Internals,No
1272,Hbrinj,Externals,bkeepers,Internals,No
1255,ksatirli,Externals,bkeepers,Internals,No
1240,notpeter,Externals,bkeepers,Internals,No
1214,tas50,Externals,bkeepers,Internals,No
1209,denisvm,Externals,bkeepers,Internals,No
1189,ouadie-lahdioui,Externals,bhuga,Internals,No
1185,technicalpickles,Internals,technicalpickles,Internals,Yes
1166,MrSaints,Externals,technicalpickles,Internals,No
1161,twellspring,Externals,bkeepers,Internals,No
1151,pchaigno,Externals,bkeepers,Internals,No
1150,gasolin,Externals,bkeepers,Internals,No
1149,loafoe,Externals,technicalpickles,Internals,No
1148,akameco,Externals,technicalpickles,Internals,No
1147,KasperDeng,Externals,technicalpickles,Internals,No
1135,MonicaG,Externals,technicalpickles,Internals,No
1133,technicalpickles,Internals,technicalpickles,Internals,Yes
1130,pra85,Externals,technicalpickles,Internals,No
1123,xt0rted,Externals,technicalpickles,Internals,No
1122,shaunkawano,Externals,technicalpickles,Internals,No
1121,technicalpickles,Internals,technicalpickles,Internals,Yes
1120,technicalpickles,Internals,technicalpickles,Internals,Yes
1119,sgerrand,Externals,technicalpickles,Internals,No
1116,jackmawer,Externals,technicalpickles,Internals,No
1114,technicalpickles,Internals,technicalpickles,Internals,Yes
1111,technicalpickles,Internals,technicalpickles,Internals,Yes
1109,technicalpickles,Internals,technicalpickles,Internals,Yes
1106,gotchahn,Externals,bkeepers,Internals,No
1103,aqnouch,Externals,technicalpickles,Internals,No
1101,cycomachead,Externals,technicalpickles,Internals,No
1099,philnash,Externals,technicalpickles,Internals,No
1097,EllisV,Externals,technicalpickles,Internals,No
1095,kauffecup,Externals,technicalpickles,Internals,No
1094,mdelagrange,Externals,technicalpickles,Internals,No
1092,jbick,Externals,technicalpickles,Internals,No
1083,bhuga,Internals,bhuga,Internals,Yes
1081,bhuga,Internals,technicalpickles,Internals,No
1077,scboucher,Externals,michaelansel,Externals,No
1074,msabramo,Externals,michaelansel,Externals,No
1069,technicalpickles,Internals,bhuga,Internals,No
1068,scboucher,Externals,michaelansel,Externals,No
1052,technicalpickles,Internals,technicalpickles,Internals,Yes
1049,doque,Externals,michaelansel,Externals,No
1042,xuoe,Externals,technicalpickles,Internals,No
1041,davidkassa,Externals,technicalpickles,Internals,No
1039,danielcompton,Externals,technicalpickles,Internals,No
1038,bhuga,Internals,bhuga,Internals,Yes
1037,michaelansel,Externals,michaelansel,Externals,Yes
1035,technicalpickles,Internals,technicalpickles,Internals,Yes
1033,bkeepers,Internals,technicalpickles,Internals,No
1032,michaelansel,Externals,technicalpickles,Internals,No
1030,michaelansel,Externals,michaelansel,Externals,Yes
1028,michaelansel,Externals,michaelansel,Externals,Yes
1021,bhuga,Internals,bhuga,Internals,Yes
1020,bhuga,Internals,michaelansel,Externals,No
1019,bhuga,Internals,technicalpickles,Internals,No
1017,kristenmills,Externals,michaelansel,Externals,No
1016,michaelansel,Externals,michaelansel,Externals,Yes
1012,alininja,Externals,technicalpickles,Internals,No
1011,sdimkov,Externals,technicalpickles,Internals,No
1007,MyvarHD,Externals,michaelansel,Externals,No
1006,jennifersmith,Externals,michaelansel,Externals,No
1005,bkeepers,Internals,bkeepers,Internals,Yes
1004,sdimkov,Externals,technicalpickles,Internals,No
1003,sdimkov,Externals,technicalpickles,Internals,No
999,sdimkov,Externals,michaelansel,Externals,No
993,arcturial,Externals,michaelansel,Externals,No
991,jexe,Externals,michaelansel,Externals,No
986,michaelansel,Externals,technicalpickles,Internals,No
984,uugengiven,Externals,technicalpickles,Internals,No
982,bkeepers,Internals,technicalpickles,Internals,No
981,michaelansel,Externals,michaelansel,Externals,Yes
980,jasonkarns,Externals,michaelansel,Externals,No
978,jasonkarns,Externals,bkeepers,Internals,No
975,michaelansel,Externals,michaelansel,Externals,Yes
974,bhuga,Internals,bhuga,Internals,Yes
973,Sing-Li,Externals,bhuga,Internals,No
971,geoffreyanderson,Externals,michaelansel,Externals,No
970,bkeepers,Internals,technicalpickles,Internals,No
969,technicalpickles,Internals,technicalpickles,Internals,Yes
967,sdimkov,Externals,technicalpickles,Internals,No
966,gjtorikian,Internals,technicalpickles,Internals,No
964,technicalpickles,Internals,technicalpickles,Internals,Yes
962,bkeepers,Internals,bkeepers,Internals,Yes
961,bkeepers,Internals,bkeepers,Internals,Yes
959,bkeepers,Internals,bkeepers,Internals,Yes
956,bkeepers,Internals,bkeepers,Internals,Yes
955,praseodym,Externals,technicalpickles,Internals,No
951,pdehaan,Externals,bkeepers,Internals,No
947,pauliwang,Externals,technicalpickles,Internals,No
945,adamgross42,Externals,bkeepers,Internals,No
944,adamgross42,Externals,technicalpickles,Internals,No
942,adamgross42,Externals,technicalpickles,Internals,No
938,ta1kt0me,Externals,technicalpickles,Internals,No
935,jcbantuelle,Externals,technicalpickles,Internals,No
931,petedmarsh,Externals,technicalpickles,Internals,No
929,sdimkov,Externals,technicalpickles,Internals,No
927,sdimkov,Externals,technicalpickles,Internals,No
926,michaelansel,Externals,technicalpickles,Internals,No
918,ChrisLundquist,Externals,technicalpickles,Internals,No
915,technicalpickles,Internals,technicalpickles,Internals,Yes
914,technicalpickles,Internals,technicalpickles,Internals,Yes
908,keithduncan,Internals,technicalpickles,Internals,No
906,technicalpickles,Internals,technicalpickles,Internals,Yes
905,technicalpickles,Internals,technicalpickles,Internals,Yes
903,michaelansel,Externals,michaelansel,Externals,Yes
899,Taytay,Externals,technicalpickles,Internals,No
898,100ideas,Externals,technicalpickles,Internals,No
889,mcmahoniel,Externals,technicalpickles,Internals,No
888,geoffreyanderson,Externals,technicalpickles,Internals,No
887,technicalpickles,Internals,technicalpickles,Internals,Yes
886,technicalpickles,Internals,technicalpickles,Internals,Yes
885,technicalpickles,Internals,technicalpickles,Internals,Yes
884,michaelansel,Externals,michaelansel,Externals,Yes
883,leefaus,Internals,technicalpickles,Internals,No
882,technicalpickles,Internals,technicalpickles,Internals,Yes
881,technicalpickles,Internals,technicalpickles,Internals,Yes
879,technicalpickles,Internals,technicalpickles,Internals,Yes
877,technicalpickles,Internals,technicalpickles,Internals,Yes
876,technicalpickles,Internals,technicalpickles,Internals,Yes
870,technicalpickles,Internals,technicalpickles,Internals,Yes
869,afeld,Externals,technicalpickles,Internals,No
867,technicalpickles,Internals,technicalpickles,Internals,Yes
865,hhaidar,Externals,technicalpickles,Internals,No
864,michaelansel,Externals,technicalpickles,Internals,No
857,ablwr,Externals,technicalpickles,Internals,No
856,technicalpickles,Internals,technicalpickles,Internals,Yes
849,anroots,Externals,technicalpickles,Internals,No
848,aroben,Internals,technicalpickles,Internals,No
842,xrd,Externals,technicalpickles,Internals,No
840,technicalpickles,Internals,technicalpickles,Internals,Yes
839,todd,Externals,technicalpickles,Internals,No
837,technicalpickles,Internals,technicalpickles,Internals,Yes
836,technicalpickles,Internals,technicalpickles,Internals,Yes
835,technicalpickles,Internals,technicalpickles,Internals,Yes
832,brianshumate,Externals,technicalpickles,Internals,No
831,kballard,Externals,technicalpickles,Internals,No
825,technicalpickles,Internals,technicalpickles,Internals,Yes
824,keithduncan,Internals,technicalpickles,Internals,No
820,stkent,Externals,technicalpickles,Internals,No
819,akiomik,Externals,technicalpickles,Internals,No
818,JrGoodle,Externals,technicalpickles,Internals,No
817,TheIronMarx,Externals,technicalpickles,Internals,No
816,benodom,Externals,technicalpickles,Internals,No
814,technicalpickles,Internals,technicalpickles,Internals,Yes
810,technicalpickles,Internals,technicalpickles,Internals,Yes
809,technicalpickles,Internals,technicalpickles,Internals,Yes
808,technicalpickles,Internals,technicalpickles,Internals,Yes
806,tombell,Externals,technicalpickles,Internals,No
805,MrSaints,Externals,technicalpickles,Internals,No
803,michaelansel,Externals,michaelansel,Externals,Yes
802,technicalpickles,Internals,technicalpickles,Internals,Yes
801,michaelansel,Externals,michaelansel,Externals,Yes
800,technicalpickles,Internals,technicalpickles,Internals,Yes
797,technicalpickles,Internals,technicalpickles,Internals,Yes
796,technicalpickles,Internals,technicalpickles,Internals,Yes
795,rantrix,Externals,technicalpickles,Internals,No
794,ahayworth,Externals,technicalpickles,Internals,No
793,technicalpickles,Internals,technicalpickles,Internals,Yes
791,aroben,Internals,technicalpickles,Internals,No
788,kevinsimper,Externals,technicalpickles,Internals,No
784,sethjackson,Externals,technicalpickles,Internals,No
776,technicalpickles,Internals,technicalpickles,Internals,Yes
769,unok,Externals,technicalpickles,Internals,No
764,technicalpickles,Internals,technicalpickles,Internals,Yes
762,bouzuya,Externals,technicalpickles,Internals,No
756,packetmonkey,Externals,technicalpickles,Internals,No
754,tspascoal,Externals,technicalpickles,Internals,No
750,charlie-hadden,Externals,technicalpickles,Internals,No
749,technicalpickles,Internals,technicalpickles,Internals,Yes
748,technicalpickles,Internals,technicalpickles,Internals,Yes
747,technicalpickles,Internals,technicalpickles,Internals,Yes
746,technicalpickles,Internals,technicalpickles,Internals,Yes
745,jjasghar,Externals,technicalpickles,Internals,No
743,huafu,Externals,technicalpickles,Internals,No
737,rsanheim,Externals,rsanheim,Externals,Yes
736,technicalpickles,Internals,technicalpickles,Internals,Yes
732,technicalpickles,Internals,technicalpickles,Internals,Yes
720,parkr,Internals,technicalpickles,Internals,No
712,ngs,Externals,technicalpickles,Internals,No
708,softarn,Externals,technicalpickles,Internals,No
703,tricknotes,Externals,technicalpickles,Internals,No
702,technicalpickles,Internals,technicalpickles,Internals,Yes
701,technicalpickles,Internals,technicalpickles,Internals,Yes
699,technicalpickles,Internals,technicalpickles,Internals,Yes
697,thiagogabriel,Externals,technicalpickles,Internals,No
696,canadianveggie,Externals,technicalpickles,Internals,No
695,dblandin,Externals,technicalpickles,Internals,No
689,technicalpickles,Internals,technicalpickles,Internals,Yes
678,ajkerr,Externals,mose,Externals,No
677,miyagawa,Externals,technicalpickles,Internals,No
671,Restuta,Externals,technicalpickles,Internals,No
667,jbr,Externals,technicalpickles,Internals,No
663,atmos,Externals,atmos,Externals,Yes
661,lusis,Externals,technicalpickles,Internals,No
660,ymendel,Externals,technicalpickles,Internals,No
654,adamvduke,Externals,technicalpickles,Internals,No
642,thogg4,Externals,technicalpickles,Internals,No
641,khellang,Externals,technicalpickles,Internals,No
640,tricknotes,Externals,technicalpickles,Internals,No
637,tricknotes,Externals,technicalpickles,Internals,No
636,searls,Externals,technicalpickles,Internals,No
635,tricknotes,Externals,technicalpickles,Internals,No
634,tricknotes,Externals,technicalpickles,Internals,No
633,spajus,Externals,technicalpickles,Internals,No
632,spajus,Externals,technicalpickles,Internals,No
631,vinbarnes,Externals,technicalpickles,Internals,No
629,xhan,Externals,technicalpickles,Internals,No
628,joshuarubin,Externals,technicalpickles,Internals,No
627,technicalpickles,Internals,technicalpickles,Internals,Yes
625,technicalpickles,Internals,technicalpickles,Internals,Yes
624,technicalpickles,Internals,technicalpickles,Internals,Yes
620,davereid,Externals,technicalpickles,Internals,No
618,akiomik,Externals,technicalpickles,Internals,No
617,aendrew,Externals,technicalpickles,Internals,No
609,smerrill,Externals,technicalpickles,Internals,No
601,technicalpickles,Internals,technicalpickles,Internals,Yes
600,wingrunr21,Externals,technicalpickles,Internals,No
599,cannikin,Externals,technicalpickles,Internals,No
592,mgriffin,Internals,technicalpickles,Internals,No
590,pawelrychlik,Externals,technicalpickles,Internals,No
585,simonsj,Internals,tombell,Externals,No
583,spajus,Externals,tombell,Externals,No
582,vanetix,Externals,tombell,Externals,No
579,balbeko,Externals,tombell,Externals,No
578,thiagopnts,Externals,tombell,Externals,No
576,commadelimited,Externals,technicalpickles,Internals,No
575,balbeko,Externals,tombell,Externals,No
572,pseudomuto,Externals,technicalpickles,Internals,No
570,tombell,Externals,tombell,Externals,Yes
569,jhubert,Externals,tombell,Externals,No
566,jhubert,Externals,tombell,Externals,No
563,tombell,Externals,tombell,Externals,Yes
562,tombell,Externals,tombell,Externals,Yes
560,nwest,Externals,tombell,Externals,No
559,tombell,Externals,tombell,Externals,Yes
558,nwest,Externals,technicalpickles,Internals,No
557,tombell,Externals,tombell,Externals,Yes
555,felixdv,Externals,technicalpickles,Internals,No
554,tombell,Externals,technicalpickles,Internals,No
553,tombell,Externals,technicalpickles,Internals,No
548,preflightsiren,Externals,tombell,Externals,No
547,knomedia,Externals,technicalpickles,Internals,No
546,halkeye,Externals,tombell,Externals,No
545,needcaffeine,Externals,atmos,Externals,No
543,balbeko,Externals,technicalpickles,Internals,No
540,bartolsthoorn,Externals,technicalpickles,Internals,No
539,technicalpickles,Internals,technicalpickles,Internals,Yes
538,tombell,Externals,technicalpickles,Internals,No
536,bartolsthoorn,Externals,technicalpickles,Internals,No
535,tombell,Externals,technicalpickles,Internals,No
533,technicalpickles,Internals,technicalpickles,Internals,Yes
532,technicalpickles,Internals,technicalpickles,Internals,Yes
524,rileytg,Externals,tombell,Externals,No
