month,pull_type,pull_amount,user_type
2017-07-15,closed,8,Externals
2017-06-15,closed,9,Externals
2017-05-15,closed,5,Externals
2017-04-15,closed,4,Externals
2017-03-15,closed,8,Externals
2017-02-15,closed,5,Externals
2017-01-15,closed,6,Externals
2016-12-15,closed,8,Externals
2016-11-15,closed,6,Externals
2016-10-15,closed,38,Externals
2016-09-15,closed,23,Externals
2016-08-15,closed,10,Externals
2016-07-15,closed,9,Externals
2016-06-15,closed,8,Externals
2016-05-15,closed,4,Externals
2016-04-15,closed,6,Externals
2016-03-15,closed,14,Externals
2016-02-15,closed,9,Externals
2016-01-15,closed,13,Externals
2015-12-15,closed,11,Externals
2015-11-15,closed,14,Externals
2015-10-15,closed,27,Externals
2015-09-15,closed,28,Externals
2015-08-15,closed,17,Externals
2015-07-15,closed,16,Externals
2015-06-15,closed,9,Externals
2015-05-15,closed,16,Externals
2015-04-15,closed,9,Externals
2015-03-15,closed,14,Externals
2015-02-15,closed,17,Externals
2015-01-15,closed,5,Externals
2014-12-15,closed,9,Externals
2014-11-15,closed,10,Externals
2014-10-15,closed,9,Externals
2014-09-15,closed,9,Externals
2014-08-15,closed,12,Externals
2014-07-15,closed,16,Externals
2014-06-15,closed,11,Externals
2014-05-15,closed,50,Externals
2013-11-15,closed,1,Externals
2013-10-15,closed,1,Externals
2013-08-15,closed,1,Externals
2013-03-15,closed,1,Externals
2013-02-15,closed,2,Externals
2013-01-15,closed,4,Externals
2012-11-15,closed,1,Externals
2012-10-15,closed,1,Externals
2012-09-15,closed,1,Externals
2018-01-15,merged,3,Externals
2017-12-15,merged,15,Externals
2017-11-15,merged,23,Externals
2017-10-15,merged,15,Externals
2017-09-15,merged,15,Externals
2017-08-15,merged,21,Externals
2017-07-15,merged,4,Externals
2017-06-15,merged,11,Externals
2017-05-15,merged,14,Externals
2017-04-15,merged,12,Externals
2017-03-15,merged,20,Externals
2017-02-15,merged,8,Externals
2017-01-15,merged,14,Externals
2016-12-15,merged,8,Externals
2016-11-15,merged,12,Externals
2016-10-15,merged,20,Externals
2016-09-15,merged,18,Externals
2016-08-15,merged,20,Externals
2016-07-15,merged,7,Externals
2016-06-15,merged,9,Externals
2016-05-15,merged,11,Externals
2016-04-15,merged,23,Externals
2016-03-15,merged,14,Externals
2016-02-15,merged,15,Externals
2016-01-15,merged,20,Externals
2015-12-15,merged,8,Externals
2015-11-15,merged,26,Externals
2015-10-15,merged,18,Externals
2015-09-15,merged,20,Externals
2015-08-15,merged,25,Externals
2015-07-15,merged,49,Externals
2015-06-15,merged,41,Externals
2015-05-15,merged,32,Externals
2015-04-15,merged,25,Externals
2015-03-15,merged,18,Externals
2015-02-15,merged,28,Externals
2015-01-15,merged,29,Externals
2014-12-15,merged,12,Externals
2014-11-15,merged,8,Externals
2014-10-15,merged,19,Externals
2014-09-15,merged,8,Externals
2014-08-15,merged,15,Externals
2014-07-15,merged,18,Externals
2014-06-15,merged,19,Externals
2014-05-15,merged,64,Externals
2014-03-15,merged,1,Externals
2014-02-15,merged,2,Externals
2014-01-15,merged,1,Externals
2013-12-15,merged,5,Externals
2013-11-15,merged,2,Externals
2013-10-15,merged,1,Externals
2013-09-15,merged,1,Externals
2013-08-15,merged,1,Externals
2013-03-15,merged,3,Externals
2013-02-15,merged,4,Externals
2013-01-15,merged,1,Externals
2012-12-15,merged,1,Externals
2012-11-15,merged,1,Externals
2012-10-15,merged,1,Externals
2012-09-15,merged,1,Externals
2012-03-15,merged,1,Externals
