pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
3989,pchaigno,Externals,vmg,Internals,No
3984,lildude,Internals,lildude,Internals,Yes
3977,pchaigno,Externals,pchaigno,Externals,Yes
3973,oktapodia,Externals,lildude,Internals,No
3972,lildude,Internals,lildude,Internals,Yes
3966,pchaigno,Externals,pchaigno,Externals,Yes
3960,bbarker,Externals,lildude,Internals,No
3955,lildude,Internals,lildude,Internals,Yes
3948,kivikakk,Internals,kivikakk,Internals,Yes
3946,kivikakk,Internals,kivikakk,Internals,Yes
3945,kivikakk,Internals,vmg,Internals,No
3943,egorzhdan,Externals,pchaigno,Externals,No
3935,vmg,Internals,vmg,Internals,Yes
3933,oldmud0,Externals,lildude,Internals,No
3932,pchaigno,Externals,pchaigno,Externals,Yes
3931,pchaigno,Externals,pchaigno,Externals,Yes
3930,lildude,Internals,lildude,Internals,Yes
3925,kivikakk,Internals,kivikakk,Internals,Yes
3922,kivikakk,Internals,kivikakk,Internals,Yes
3921,NachoSoto,Externals,lildude,Internals,No
3920,NachoSoto,Externals,lildude,Internals,No
3919,lildude,Internals,lildude,Internals,Yes
3916,ai,Externals,kivikakk,Internals,No
3915,vmg,Internals,vmg,Internals,Yes
3907,jin,Externals,lildude,Internals,No
3905,kivikakk,Internals,kivikakk,Internals,Yes
3903,kivikakk,Internals,kivikakk,Internals,Yes
3902,mr-c,Externals,kivikakk,Internals,No
3900,kivikakk,Internals,kivikakk,Internals,Yes
3895,prertik,Externals,lildude,Internals,No
3885,josh-padnick,Externals,lildude,Internals,No
3883,pchaigno,Externals,pchaigno,Externals,Yes
3882,kivikakk,Internals,kivikakk,Internals,Yes
3880,Alhadis,Externals,Alhadis,Externals,Yes
3879,sylveon,Externals,lildude,Internals,No
3877,wesdawg,Externals,kivikakk,Internals,No
3874,yuya-takeyama,Externals,lildude,Internals,No
3871,ararslan,Externals,Alhadis,Externals,No
3870,pditommaso,Externals,pchaigno,Externals,No
3866,rkoeninger,Externals,lildude,Internals,No
3865,freak4pc,Externals,lildude,Internals,No
3864,kivikakk,Internals,kivikakk,Internals,Yes
3863,kivikakk,Internals,kivikakk,Internals,Yes
3862,pchaigno,Externals,pchaigno,Externals,Yes
3861,pchaigno,Externals,pchaigno,Externals,Yes
3860,tessarin,Externals,lildude,Internals,No
3859,lildude,Internals,lildude,Internals,Yes
3858,cjllanwarne,Externals,lildude,Internals,No
3857,dcmoore-gd,Externals,gjtorikian,Internals,No
3856,lildude,Internals,lildude,Internals,Yes
3853,lildude,Internals,lildude,Internals,Yes
3846,kivikakk,Internals,kivikakk,Internals,Yes
3844,codecat,Externals,lildude,Internals,No
3822,nwhetsell,Externals,lildude,Internals,No
3818,Shan1024,Externals,lildude,Internals,No
3817,Alhadis,Externals,lildude,Internals,No
3813,gdi2290,Externals,lildude,Internals,No
3811,DoctorWhoof,Externals,lildude,Internals,No
3809,DoctorWhoof,Externals,lildude,Internals,No
3806,seppestas,Externals,lildude,Internals,No
3804,menduz,Externals,lildude,Internals,No
3799,seppestas,Externals,lildude,Internals,No
3793,Alhadis,Externals,Alhadis,Externals,Yes
3791,mathewmariani,Externals,lildude,Internals,No
3790,lildude,Internals,lildude,Internals,Yes
3789,krk,Externals,lildude,Internals,No
3785,AnthonyDGreen,Externals,lildude,Internals,No
3783,bmeck,Externals,lildude,Internals,No
3782,adaedra,Externals,lildude,Internals,No
3781,kach,Externals,lildude,Internals,No
3780,rkoeninger,Externals,lildude,Internals,No
3778,lildude,Internals,lildude,Internals,Yes
3771,MarcianoPreciado,Externals,lildude,Internals,No
3767,AbigailBuccaneer,Externals,lildude,Internals,No
3765,lildude,Internals,lildude,Internals,Yes
3752,jdennes,Internals,jdennes,Internals,Yes
3751,Alhadis,Externals,Alhadis,Externals,Yes
3744,Alhadis,Externals,Alhadis,Externals,Yes
3743,Alhadis,Externals,Alhadis,Externals,Yes
3741,iWader,Externals,lildude,Internals,No
