pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed
3989,1,0,0,Volunteers,pchaigno,2018-01-16T09:49:33Z,1,0,1
3984,3,0,0,Employees,lildude,2018-01-12T11:49:02Z,1,53,7
3977,1,0,0,Volunteers,pchaigno,2018-01-07T20:32:56Z,2,0,1
3973,11,27,0,Volunteers,oktapodia,2018-01-12T17:26:51Z,306,299,17
3972,6,8,15,Employees,lildude,2018-01-15T10:11:54Z,1725,34,33
3966,1,1,0,Volunteers,pchaigno,2018-01-01T20:57:14Z,4,4,2
3960,1,6,0,Volunteers,bbarker,2018-01-13T09:38:35Z,343,0,4
3955,11,4,13,Employees,lildude,2017-12-21T13:17:20Z,14589,7438,197
3948,2,13,2,Employees,kivikakk,2018-01-07T22:01:17Z,16,6,6
3946,1,0,4,Employees,kivikakk,2017-12-12T10:53:37Z,28,1,7
3945,2,0,0,Employees,kivikakk,2017-12-12T08:41:21Z,2,2,2
3943,2,0,0,Volunteers,egorzhdan,2018-01-11T08:48:50Z,4,1,2
3935,1,2,1,Employees,vmg,2017-12-04T18:20:39Z,185,90,8
3933,3,9,0,Volunteers,oldmud0,2018-01-11T10:48:20Z,2,12,5
3932,1,0,0,Volunteers,pchaigno,2017-12-02T14:24:06Z,1,0,1
3931,1,0,0,Volunteers,pchaigno,2017-12-02T14:08:20Z,1,1,1
3930,4,9,4,Employees,lildude,2017-12-11T12:37:21Z,55,52,4
3925,1,1,0,Employees,kivikakk,2017-12-01T08:33:51Z,1,1,1
3922,1,3,0,Employees,kivikakk,2017-12-01T02:42:00Z,18,7,1
3921,1,2,3,Volunteers,NachoSoto,2017-11-29T14:25:05Z,4,1,2
3920,1,1,4,Volunteers,NachoSoto,2017-11-29T14:26:24Z,23,0,3
3919,2,0,0,Employees,lildude,2017-11-28T10:52:02Z,0,4,2
3916,1,5,1,Volunteers,ai,2017-11-26T05:21:11Z,74,1,8
3915,15,15,3,Employees,vmg,2017-11-30T15:15:49Z,37141,36039,293
3907,1,7,2,Volunteers,jin,2017-11-15T10:04:36Z,1,0,1
3905,1,0,0,Employees,kivikakk,2017-11-16T00:44:52Z,5,6,2
3903,2,1,0,Employees,kivikakk,2017-11-13T07:17:39Z,2,1,2
3902,4,4,0,Volunteers,mr-c,2017-11-16T01:15:56Z,82,0,9
3900,3,1,0,Employees,kivikakk,2017-11-10T11:11:33Z,270,6335,8
3895,3,8,0,Volunteers,prertik,2017-11-14T07:35:12Z,2,2,3
3885,2,8,0,Volunteers,josh-padnick,2018-01-12T17:27:42Z,59,0,2
3883,1,2,2,Volunteers,pchaigno,2017-11-04T10:16:45Z,103,1,2
3882,2,0,0,Employees,kivikakk,2017-11-01T00:01:04Z,20,20,20
3880,5,10,0,Volunteers,Alhadis,2017-11-17T10:25:57Z,11589,6592,68
3879,2,0,0,Volunteers,sylveon,2017-10-31T16:26:45Z,2071,0,3
3877,5,0,0,Volunteers,wesdawg,2017-11-16T01:16:33Z,1211,304,88
3874,3,9,2,Volunteers,yuya-takeyama,2018-01-11T09:25:14Z,46,4,5
3871,1,34,0,Volunteers,ararslan,2017-11-09T08:39:37Z,36,35,8
3870,7,16,17,Volunteers,pditommaso,2018-01-09T11:48:00Z,841,48,16
3866,1,1,0,Volunteers,rkoeninger,2017-10-31T16:27:23Z,1,0,1
3865,4,38,8,Volunteers,freak4pc,2017-11-28T11:04:18Z,23,7,7
3864,1,8,0,Employees,kivikakk,2017-10-17T08:31:21Z,1,1,1
3863,1,3,0,Employees,kivikakk,2017-10-17T08:05:21Z,1,18,5
3862,1,0,0,Volunteers,pchaigno,2017-10-17T09:08:05Z,0,4,1
3861,1,1,0,Volunteers,pchaigno,2017-10-31T14:12:02Z,12,0,1
3860,2,1,0,Volunteers,tessarin,2017-10-23T09:16:57Z,11,3,2
3859,3,1,0,Employees,lildude,2017-10-15T08:52:28Z,50,48,49
3858,2,0,0,Volunteers,cjllanwarne,2017-10-14T16:12:47Z,156,0,10
3857,2,7,0,Volunteers,dcmoore-gd,2017-10-12T19:42:32Z,1,1,2
3856,1,4,0,Employees,lildude,2017-10-13T16:49:05Z,2,2,1
3853,1,1,0,Employees,lildude,2017-10-10T17:26:27Z,1,1,1
3846,17,5,3,Employees,kivikakk,2017-10-31T00:06:57Z,15064,6352,53
3844,14,8,20,Volunteers,codecat,2017-10-14T16:34:13Z,649,244,29
3822,1,2,0,Volunteers,nwhetsell,2017-09-17T12:27:25Z,3,3,1
3818,5,11,15,Volunteers,Shan1024,2017-09-17T12:29:13Z,338,10,18
3817,1,0,0,Volunteers,Alhadis,2017-09-17T12:29:50Z,229,0,2
3813,1,3,0,Volunteers,gdi2290,2017-09-07T08:38:42Z,1,0,1
3811,4,4,0,Volunteers,DoctorWhoof,2018-01-11T09:23:55Z,412,0,4
3809,1,3,0,Volunteers,DoctorWhoof,2017-09-07T08:39:53Z,1,0,1
3806,1,12,0,Volunteers,seppestas,2017-09-19T17:02:06Z,2,0,1
3804,5,8,0,Volunteers,menduz,2017-09-07T14:28:47Z,4956,93,54
3799,3,11,3,Volunteers,seppestas,2017-09-07T08:52:29Z,8,8,3
3793,4,4,0,Volunteers,Alhadis,2017-08-24T11:13:30Z,27,8,6
3791,3,2,1,Volunteers,mathewmariani,2017-09-07T08:53:26Z,60,45,11
3790,1,0,0,Employees,lildude,2017-08-24T09:17:13Z,6,1,2
3789,2,6,0,Volunteers,krk,2017-09-17T12:31:04Z,184,0,2
3785,1,2,0,Volunteers,AnthonyDGreen,2017-09-07T08:55:21Z,1093,0,1
3783,3,5,3,Volunteers,bmeck,2017-09-07T08:56:37Z,968,1,5
3782,1,26,0,Volunteers,adaedra,2017-09-21T08:52:11Z,48,12,6
3781,1,7,0,Volunteers,Hardmath123,2017-08-17T17:03:39Z,150,0,6
3780,5,0,2,Volunteers,rkoeninger,2017-09-07T08:58:31Z,5,3,5
3778,1,0,0,Employees,lildude,2017-08-16T09:08:33Z,1,1,1
